userid,ledger,date,amount,narration,ledger
63aa962f68dc4f69b0f23e5e,other,2022-08-17,400,To Mummy,other
63aa962f68dc4f69b0f23e5e,miscellaneous,2022-08-17,220,1kg Sweets To Distribute In Tola Mohalla,miscellaneous
63aa962f68dc4f69b0f23e5e,refreshment,2022-08-17,30,For Samosa,refreshment
63aa962f68dc4f69b0f23e5e,home construction,2022-08-16,3200,Motot Pump-3100 & Parts-100,home construction
63aa962f68dc4f69b0f23e5e,general,2022-08-14,1000,For 20kg Milk For 40days,general
63aa962f68dc4f69b0f23e5e,other,2022-08-13,300,Given To Bibha For Exp.,other
63aa962f68dc4f69b0f23e5e,other,2022-08-12,125,For Mela Exp Refreshment & Toys Included,other
63aa962f68dc4f69b0f23e5e,snacks,2022-08-12,30,Paid For 4 Biscuit & 2 Kurkure For Babies,snacks
63aa962f68dc4f69b0f23e5e,miscellaneous,2022-08-12,500,To Swati For Rakhi,miscellaneous
63aa962f68dc4f69b0f23e5e,general,2022-08-11,200,For Paneer,general
63aa962f68dc4f69b0f23e5e,home construction,2022-08-09,150,"1 Tap, 1 Elbow, 1 Elbow For Tap",home construction
63aa962f68dc4f69b0f23e5e,home construction,2022-08-07,1000,"Pipe 6 Piece, Elbo, T , 2-Solution From Pipr Factory",home construction
63aa962f68dc4f69b0f23e5e,general,2022-08-05,100,Paid To Jairam For Vegitables,general
63aa962f68dc4f69b0f23e5e,other,2022-08-05,2200,Cash Paid To Bibha,other
63aa962f68dc4f69b0f23e5e,refreshment,2022-08-04,40,2-burger,refreshment
63aa962f68dc4f69b0f23e5e,ration,2022-08-04,90,For Chiniya Badam 3/4kg,ration
63aa962f68dc4f69b0f23e5e,ration,2022-08-02,114,"Rajma-64, Badam-30 & Shampoo-20",ration

